subject	acquisition	rows	columns	has_stage_hum	has_stage_ai	duration_values	onset_min_sec	onset_max_sec	coverage_end_sec	recording_duration_sec	unlabeled_tail_sec	sampling_frequency_hz	channel_rows	stage_hum_disconnection_epochs	stage_hum_missing	stage_ai_negative_epochs
sub-44	psg	850	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25470.0	25500.0	25525.0	25.0	256.0	11	0	0	0
sub-45	headband	821	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	24600.0	24630.0	24642.0	12.0	256.0	9			1
sub-45	psg	821	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	24600.0	24630.0	24642.0	12.0	256.0	11	1	0	17
sub-46	headband	968	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29010.0	29040.0	29043.0	3.0	256.0	9			1
sub-46	psg	968	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29010.0	29040.0	29043.0	3.0	256.0	11	1	0	0
sub-47	headband	812	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	24330.0	24360.0	24362.0	2.0	256.0	9			1
sub-47	psg	812	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	24330.0	24360.0	24362.0	2.0	256.0	14	13	0	13
sub-48	headband	1048	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	31410.0	31440.0	31467.0	27.0	256.0	9			28
sub-48	psg	1048	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	31410.0	31440.0	31467.0	27.0	256.0	14	1	0	1
sub-49	headband	902	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27030.0	27060.0	27085.0	25.0	256.0	9			30
sub-49	psg	902	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27030.0	27060.0	27085.0	25.0	256.0	11	0	0	0
sub-50	headband	895	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26820.0	26850.0	26860.0	10.0	256.0	9			6
sub-50	psg	895	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26820.0	26850.0	26860.0	10.0	256.0	14	11	0	11
sub-51	headband	895	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26820.0	26850.0	26860.0	10.0	256.0	9			0
sub-51	psg	895	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26820.0	26850.0	26860.0	10.0	256.0	11	0	0	0
sub-52	headband	923	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27660.0	27690.0	27712.0	22.0	256.0	9			0
sub-52	psg	923	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27660.0	27690.0	27712.0	22.0	256.0	11	0	0	0
sub-53	headband	666	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	19950.0	19980.0	20008.0	28.0	256.0	9			56
sub-53	psg	666	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	19950.0	19980.0	20008.0	28.0	256.0	14	9	0	8
sub-54	headband	790	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	23670.0	23700.0	23723.0	23.0	256.0	9			1
sub-54	psg	790	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	23670.0	23700.0	23723.0	23.0	256.0	14	7	0	5
sub-55	headband	1073	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	32160.0	32190.0	32199.0	9.0	256.0	9			204
sub-55	psg	1073	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	32160.0	32190.0	32199.0	9.0	256.0	11	0	0	0
sub-56	headband	958	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28710.0	28740.0	28747.0	7.0	256.0	9			12
sub-56	psg	958	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28710.0	28740.0	28747.0	7.0	256.0	11	0	0	0
sub-57	headband	1032	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30930.0	30960.0	30960.0	0.0	256.0	9			451
sub-57	psg	1032	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30930.0	30960.0	30960.0	0.0	256.0	11	0	0	0
sub-58	headband	1005	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30120.0	30150.0	30162.0	12.0	256.0	9			6
sub-58	psg	1005	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30120.0	30150.0	30162.0	12.0	256.0	11	0	0	0
sub-59	headband	1057	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	31680.0	31710.0	31730.0	20.0	256.0	9			64
sub-59	psg	1057	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	31680.0	31710.0	31730.0	20.0	256.0	11	22	0	4
sub-60	headband	922	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27630.0	27660.0	27685.0	25.0	256.0	9			0
sub-60	psg	922	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27630.0	27660.0	27685.0	25.0	256.0	11	51	0	0
sub-61	headband	948	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28410.0	28440.0	28467.0	27.0	256.0	9			266
sub-61	psg	948	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28410.0	28440.0	28467.0	27.0	256.0	11	0	0	0
sub-62	headband	983	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29460.0	29490.0	29494.0	4.0	256.0	9			24
sub-62	psg	983	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29460.0	29490.0	29494.0	4.0	256.0	11	0	0	0
sub-63	headband	888	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26610.0	26640.0	26661.0	21.0	256.0	9			0
sub-63	psg	888	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26610.0	26640.0	26661.0	21.0	256.0	11	4	0	3
sub-64	headband	886	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26550.0	26580.0	26582.0	2.0	256.0	9			0
sub-64	psg	886	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26550.0	26580.0	26582.0	2.0	256.0	11	6	0	4
sub-65	headband	897	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26880.0	26910.0	26930.0	20.0	256.0	9			118
sub-65	psg	897	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26880.0	26910.0	26930.0	20.0	256.0	11	0	0	0
sub-66	headband	1081	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	32400.0	32430.0	32446.0	16.0	256.0	9			34
sub-66	psg	1081	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	32400.0	32430.0	32446.0	16.0	256.0	11	5	0	4
sub-67	headband	924	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27690.0	27720.0	27737.0	17.0	256.0	9			0
sub-67	psg	924	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27690.0	27720.0	27737.0	17.0	256.0	11	0	0	0
sub-68	headband	870	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26070.0	26100.0	26122.0	22.0	256.0	9			1
sub-68	psg	870	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26070.0	26100.0	26122.0	22.0	256.0	11	11	0	7
sub-69	headband	1003	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30060.0	30090.0	30116.0	26.0	256.0	9			1
sub-69	psg	1003	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30060.0	30090.0	30116.0	26.0	256.0	11	0	0	0
sub-70	headband	889	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26640.0	26670.0	26692.0	22.0	256.0	9			0
sub-70	psg	889	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26640.0	26670.0	26692.0	22.0	256.0	11	8	0	5
sub-71	headband	1114	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	33390.0	33420.0	33425.0	5.0	256.0	9			72
sub-71	psg	1114	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	33390.0	33420.0	33425.0	5.0	256.0	11	0	0	0
sub-72	headband	966	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28950.0	28980.0	28985.0	5.0	256.0	9			95
sub-72	psg	966	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28950.0	28980.0	28985.0	5.0	256.0	11	0	0	4
sub-73	headband	865	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25920.0	25950.0	25956.0	6.0	256.0	9			1
sub-73	psg	865	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25920.0	25950.0	25956.0	6.0	256.0	11	28	0	5
sub-74	headband	969	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29040.0	29070.0	29075.0	5.0	256.0	9			0
sub-74	psg	969	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29040.0	29070.0	29075.0	5.0	256.0	11	0	0	0
sub-75	headband	863	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25860.0	25890.0	25914.0	24.0	256.0	9			77
sub-75	psg	863	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25860.0	25890.0	25914.0	24.0	256.0	11	0	0	9
sub-76	headband	1048	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	31410.0	31440.0	31445.0	5.0	256.0	9			137
sub-76	psg	1048	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	31410.0	31440.0	31445.0	5.0	256.0	11	0	0	0
sub-77	headband	1078	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	32310.0	32340.0	32351.0	11.0	256.0	9			265
sub-77	psg	1078	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	32310.0	32340.0	32351.0	11.0	256.0	11	0	0	0
sub-78	headband	880	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26370.0	26400.0	26427.0	27.0	256.0	9			5
sub-78	psg	880	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26370.0	26400.0	26427.0	27.0	256.0	11	0	0	0
sub-79	headband	1034	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30990.0	31020.0	31022.0	2.0	256.0	9			1
sub-79	psg	1034	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30990.0	31020.0	31022.0	2.0	256.0	11	0	0	10
sub-80	headband	820	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	24570.0	24600.0	24626.0	26.0	256.0	9			0
sub-80	psg	820	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	24570.0	24600.0	24626.0	26.0	256.0	11	0	0	0
sub-81	headband	905	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27120.0	27150.0	27171.0	21.0	256.0	9			3
sub-81	psg	905	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27120.0	27150.0	27171.0	21.0	256.0	11	0	0	0
sub-82	headband	888	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26610.0	26640.0	26663.0	23.0	256.0	9			22
sub-82	psg	888	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26610.0	26640.0	26663.0	23.0	256.0	11	0	0	1
sub-83	headband	911	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27300.0	27330.0	27339.0	9.0	256.0	9			0
sub-83	psg	911	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27300.0	27330.0	27339.0	9.0	256.0	11	12	0	1
sub-84	headband	1017	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30480.0	30510.0	30533.0	23.0	256.0	9			72
sub-84	psg	1017	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30480.0	30510.0	30533.0	23.0	256.0	11	0	0	0
sub-85	headband	1081	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	32400.0	32430.0	32444.0	14.0	256.0	9			38
sub-85	psg	1081	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	32400.0	32430.0	32444.0	14.0	256.0	11	0	0	182
sub-86	headband	944	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28290.0	28320.0	28337.0	17.0	256.0	9			1
sub-86	psg	944	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28290.0	28320.0	28337.0	17.0	256.0	11	0	0	0
